Start,Finish,Active Calories (kcal),Distance (km),Flights Climbed (count),Resting Calories (kcal),Steps (count)
20-Sep-2016 19:00,20-Sep-2016 20:00,0.0,0.00631265058374603,0.0,0.0,9.14876896195076
20-Sep-2016 20:00,20-Sep-2016 21:00,0.0,0.000587349416253972,0.0,0.0,0.851231038049235
20-Sep-2016 21:00,20-Sep-2016 22:00,0.0,0.0,0.0,0.0,0.0
20-Sep-2016 22:00,20-Sep-2016 23:00,0.0,0.0,0.0,0.0,0.0
20-Sep-2016 23:00,21-Sep-2016 00:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 00:00,21-Sep-2016 01:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 01:00,21-Sep-2016 02:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 02:00,21-Sep-2016 03:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 03:00,21-Sep-2016 04:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 04:00,21-Sep-2016 05:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 05:00,21-Sep-2016 06:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 06:00,21-Sep-2016 07:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 07:00,21-Sep-2016 08:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 08:00,21-Sep-2016 09:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 09:00,21-Sep-2016 10:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 10:00,21-Sep-2016 11:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 11:00,21-Sep-2016 12:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 12:00,21-Sep-2016 13:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 13:00,21-Sep-2016 14:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 14:00,21-Sep-2016 15:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 15:00,21-Sep-2016 16:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 16:00,21-Sep-2016 17:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 17:00,21-Sep-2016 18:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 18:00,21-Sep-2016 19:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 19:00,21-Sep-2016 20:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 20:00,21-Sep-2016 21:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 21:00,21-Sep-2016 22:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 22:00,21-Sep-2016 23:00,0.0,0.0,0.0,0.0,0.0
21-Sep-2016 23:00,22-Sep-2016 00:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 00:00,22-Sep-2016 01:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 01:00,22-Sep-2016 02:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 02:00,22-Sep-2016 03:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 03:00,22-Sep-2016 04:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 04:00,22-Sep-2016 05:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 05:00,22-Sep-2016 06:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 06:00,22-Sep-2016 07:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 07:00,22-Sep-2016 08:00,0.0,0.389892570704735,1.0,0.0,627.536295917154
22-Sep-2016 08:00,22-Sep-2016 09:00,0.0,0.0608774292952656,0.0,0.0,94.4637040828463
22-Sep-2016 09:00,22-Sep-2016 10:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 10:00,22-Sep-2016 11:00,0.0,0.19638,0.0,0.0,300.0
22-Sep-2016 11:00,22-Sep-2016 12:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 12:00,22-Sep-2016 13:00,0.0,0.78948995000596,4.0,0.0,1292.15620618792
22-Sep-2016 13:00,22-Sep-2016 14:00,0.0,1.04633872705602,1.0,0.0,1751.46029202289
22-Sep-2016 14:00,22-Sep-2016 15:00,0.0,0.450880916857576,1.0,0.0,705.383501789188
22-Sep-2016 15:00,22-Sep-2016 16:00,0.0,0.325780000000003,1.0,0.0,530.0
22-Sep-2016 16:00,22-Sep-2016 17:00,0.0,1.31390999999999,0.0,0.0,2288.0
22-Sep-2016 17:00,22-Sep-2016 18:00,0.0,1.3125,2.0,0.0,2189.0
22-Sep-2016 18:00,22-Sep-2016 19:00,0.0,0.491689999999996,2.0,0.0,763.0
22-Sep-2016 19:00,22-Sep-2016 20:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 20:00,22-Sep-2016 21:00,0.0,0.01104,0.0,0.0,16.0
22-Sep-2016 21:00,22-Sep-2016 22:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 22:00,22-Sep-2016 23:00,0.0,0.0,0.0,0.0,0.0
22-Sep-2016 23:00,23-Sep-2016 00:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 00:00,23-Sep-2016 01:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 01:00,23-Sep-2016 02:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 02:00,23-Sep-2016 03:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 03:00,23-Sep-2016 04:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 04:00,23-Sep-2016 05:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 05:00,23-Sep-2016 06:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 06:00,23-Sep-2016 07:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 07:00,23-Sep-2016 08:00,0.0,0.372209999999991,1.0,0.0,590.0
23-Sep-2016 08:00,23-Sep-2016 09:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 09:00,23-Sep-2016 10:00,0.0,0.0466691777602308,0.0,0.0,68.4212619294697
23-Sep-2016 10:00,23-Sep-2016 11:00,0.0,0.196600822239774,3.0,0.0,282.57873807053
23-Sep-2016 11:00,23-Sep-2016 12:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 12:00,23-Sep-2016 13:00,0.0,0.358249999999993,2.0,0.0,578.0
23-Sep-2016 13:00,23-Sep-2016 14:00,0.0,0.485429999999995,4.0,0.0,757.0
23-Sep-2016 14:00,23-Sep-2016 15:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 15:00,23-Sep-2016 16:00,0.0,0.25321,0.0,0.0,380.0
23-Sep-2016 16:00,23-Sep-2016 17:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 17:00,23-Sep-2016 18:00,0.0,0.602190000000006,4.0,0.0,826.0
23-Sep-2016 18:00,23-Sep-2016 19:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 19:00,23-Sep-2016 20:00,0.0,0.0345699999999997,0.0,0.0,48.0
23-Sep-2016 20:00,23-Sep-2016 21:00,0.0,0.0,0.0,0.0,0.0
23-Sep-2016 21:00,23-Sep-2016 22:00,0.0,0.0120699999999997,0.0,0.0,17.0
23-Sep-2016 22:00,23-Sep-2016 23:00,0.0,0.0150299999999988,0.0,0.0,19.0
23-Sep-2016 23:00,24-Sep-2016 00:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 00:00,24-Sep-2016 01:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 01:00,24-Sep-2016 02:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 02:00,24-Sep-2016 03:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 03:00,24-Sep-2016 04:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 04:00,24-Sep-2016 05:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 05:00,24-Sep-2016 06:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 06:00,24-Sep-2016 07:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 07:00,24-Sep-2016 08:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 08:00,24-Sep-2016 09:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 09:00,24-Sep-2016 10:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 10:00,24-Sep-2016 11:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 11:00,24-Sep-2016 12:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 12:00,24-Sep-2016 13:00,0.0,0.0116800000000003,0.0,0.0,16.0
24-Sep-2016 13:00,24-Sep-2016 14:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 14:00,24-Sep-2016 15:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 15:00,24-Sep-2016 16:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 16:00,24-Sep-2016 17:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 17:00,24-Sep-2016 18:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 18:00,24-Sep-2016 19:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 19:00,24-Sep-2016 20:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 20:00,24-Sep-2016 21:00,0.0,0.0164699999999993,0.0,0.0,27.0
24-Sep-2016 21:00,24-Sep-2016 22:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 22:00,24-Sep-2016 23:00,0.0,0.0,0.0,0.0,0.0
24-Sep-2016 23:00,25-Sep-2016 00:00,0.0,0.0,0.0,0.0,0.0
25-Sep-2016 00:00,25-Sep-2016 01:00,0.0,0.0,0.0,0.0,0.0
25-Sep-2016 01:00,25-Sep-2016 02:00,0.0,0.0,0.0,0.0,0.0
