Mois,Distance,Steps,Ville
7_2017,0,000939999999944121,2,Lyon
8_2017,7,63674896971346,11994,Tassin-la-demi-lune
9_2016,19,5804097019697,31101,Neuville-Sur-Sa™ne
6_2017,40,1313626053601,62053,Tarare
1_2017,58,1408108683001,88387,Saint-ƒtienne
2_2017,64,3129075411579,93188,Saint-ƒtienne
9_2017,71,0729516574654,101016,02689274,Mac™n
3_2017,72,8740009976757,107487,Mac™n
11_2016,76,7508693060991,116392,Montbrison
5_2017,80,1665413957638,121069,Roanne
10_2016,81,3949322270992,125862,Roanne
1_2019,94,185183673968,133361,323604006,Aix-Les-Bains
12_2016,94,4033812639296,140002,Aix-Les-Bains
8_2018,96,0616978979761,137165,865028781,Aix-Les-Bains
4_2017,99,3875473831382,149825,Aix-Les-Bains
11_2017,105,541896172026,138533,320247055,Chambery
12_2017,106,410445800326,141036,908062635,Chambery
12_2018,107,984949447229,148833,486664214,Grenoble
9_2018,112,990190822858,153107,784894085,Grenoble
11_2018,121,700706092708,169063,578036158,Montmorot
10_2018,128,347956933489,176520,699234728,Chalon-sur-Sa™ne
10_2017,148,462316280585,194115,368045878,Annecy
2_2018,199,883905563635,259811,353308377,Dijon
1_2018,218,684516694037,289309,089813727,Nevers
3_2018,225,225775956773,290169,323788224,Nevers
7_2018,236,634509168,315570,635463415,Montbard
4_2018,254,573760417271,325926,084483749,Nimes
5_2018,278,043673930228,359604,269110289,Bourges
6_2018,295,103304794291,393315,705112653,Montpellier
