Mois,Distance,Steps
9_2016,19.5804097019697,31101
10_2016,81.3949322270992,125862
11_2016,76.7508693060991,116392
12_2016,94.4033812639296,140002
1_2017,58.1408108683001,88387
2_2017,64.3129075411579,93188
3_2017,72.8740009976757,107487
4_2017,99.3875473831382,149825
5_2017,80.1665413957638,121069
6_2017,40.1313626053601,62053
7_2017,0.000939999999944121,2
8_2017,7.63674896971346,11994
9_2017,71.0729516574654,101016.02689274
10_2017,148.462316280585,194115.368045878
11_2017,105.541896172026,138533.320247055
12_2017,106.410445800326,141036.908062635
1_2018,218.684516694037,289309.089813727
2_2018,199.883905563635,259811.353308377
3_2018,225.225775956773,290169.323788224
4_2018,254.573760417271,325926.084483749
5_2018,278.043673930228,359604.269110289
6_2018,295.103304794291,393315.705112653
7_2018,236.634509168,315570.635463415
8_2018,96.0616978979761,137165.865028781
9_2018,112.990190822858,153107.784894085
10_2018,128.347956933489,176520.699234728
11_2018,121.700706092708,169063.578036158
12_2018,107.984949447229,148833.486664214
1_2019,94.185183673968,133361.323604006
